State,City,percent_completed_hs,poverty_rate,Median Income,Lat,Lng,cityarea,city_name,city_type,county
AL,Catherine CDP,100,0,-,32.1845875,-87.469443,Catherine CDP,Catherine,CDP,
AL,Cedar Bluff town,77.9,25.8,36389,34.220094200000005,-85.6077402,Cedar Bluff town,Cedar Bluff,town,
AL,Center Point city,87.1,25,39944,33.6456583,-86.68360009999999,Center Point city,Center Point,city,
AL,Centre city,76.7,25.1,31268,34.1520406,-85.6788531,Centre city,Centre,city,
AL,Centreville city,81.6,22.4,41103,32.9445682,-87.1386067,Centreville city,Centreville,city,
AL,Chatom town,76,19.8,35365,31.4651653,-88.25445570000001,Chatom town,Chatom,town,
AL,Chelsea city,93.5,4.9,85757,33.3401108,-86.6302625,Chelsea city,Chelsea,city,
AL,Cherokee town,80.9,19.9,28359,34.7570342,-87.9728143,Cherokee town,Cherokee,town,
AL,Chickasaw city,79.9,33.6,30973,30.763799100000004,-88.07472220000001,Chickasaw city,Chickasaw,city,
AL,Childersburg city,78.8,38.6,25948,33.2781686,-86.35497740000001,Childersburg city,Childersburg,city,
AL,Choccolocco CDP,89.4,14.7,54825,33.659593900000004,-85.70443159999999,Choccolocco CDP,Choccolocco,CDP,
AL,Chunchula CDP,91.2,0,(X),30.9218505,-88.20055970000001,Chunchula CDP,Chunchula,CDP,
AL,Citronelle city,82.5,16.9,48125,31.0907338,-88.2280622,Citronelle city,Citronelle,city,
AL,Clanton city,76.8,16.9,39823,32.8387371,-86.6294262,Clanton city,Clanton,city,
AL,Clay city,92.2,6.6,68717,33.7026013,-86.5997096,Clay city,Clay,city,
AL,Clayhatchee town,85.3,16.4,32656,31.2357293,-85.7227118,Clayhatchee town,Clayhatchee,town,
AL,Clayton town,57.8,29.3,25203,31.8782162,-85.4496627,Clayton town,Clayton,town,
AL,Cleveland town,74.4,15,40909,33.990931599999996,-86.5774905,Cleveland town,Cleveland,town,
AL,Clio city,63.1,31.4,19539,31.708775300000003,-85.61049720000001,Clio city,Clio,city,
AL,Coaling town,88.2,19.5,54167,33.1590078,-87.340834,Coaling town,Coaling,town,
AL,Coats Bend CDP,90.9,15,42821,34.0500981,-85.847746,Coats Bend CDP,Coats Bend,CDP,
AL,Coffee Springs town,78,21.2,33636,31.164619300000002,-85.9093821,Coffee Springs town,Coffee Springs,town,
AL,Coffeeville town,71.7,41.3,19583,31.7579353,-88.0897308,Coffeeville town,Coffeeville,town,
AL,Coker town,89.2,10,45795,33.2459512,-87.6877882,Coker town,Coker,town,
AL,Collinsville town,52,32.1,25795,34.2639821,-85.86052509999999,Collinsville town,Collinsville,town,
AL,Colony town,77,24.8,33063,33.9387833,-86.8947789,Colony town,Colony,town,
AL,Columbia town,79,20.1,31806,31.2926762,-85.11159649999999,Columbia town,Columbia,town,
AL,Columbiana city,74.4,24,32700,33.1781718,-86.6072054,Columbiana city,Columbiana,city,
AL,Concord CDP,91.3,7.9,44620,33.467608500000004,-87.03110579999999,Concord CDP,Concord,CDP,
AL,Coosada town,84.3,23.5,47406,32.4979127,-86.3313602,Coosada town,Coosada,town,
AL,Cordova city,79.8,32.8,19139,33.759829100000005,-87.1833349,Cordova city,Cordova,city,
AL,Cottondale CDP,74.9,12.8,43875,33.189202,-87.45659559999999,Cottondale CDP,Cottondale,CDP,
AL,Cottonwood town,76.3,29.8,25313,31.048793300000003,-85.30493259999999,Cottonwood town,Cottonwood,town,
AL,County Line town,83.9,10.7,55313,33.8214894,-86.7186038,County Line town,County Line,town,
AL,Courtland town,79.6,25.8,33125,34.6689794,-87.30946490000001,Courtland town,Courtland,town,
AL,Cowarts town,86,11.7,43533,31.2001772,-85.30465490000002,Cowarts town,Cowarts,town,
AL,Creola city,84.4,18.1,51705,30.891850899999998,-88.0397213,Creola city,Creola,city,
AL,Crossville town,70.4,38.1,30833,34.2875925,-85.99414,Crossville town,Crossville,town,
AL,Cuba town,92.1,21,40673,32.4281952,-88.37642109999999,Cuba town,Cuba,town,
AL,Cullman city,85.3,21.9,38746,34.1748208,-86.84361240000001,Cullman city,Cullman,city,
AL,Cullomburg CDP,93.4,8.5,(X),31.713611,-88.296944,Cullomburg CDP,Cullomburg,CDP,
AL,Cusseta town,83.7,9.3,52500,32.7848521,-85.30577790000001,Cusseta town,Cusseta,town,
AL,Dadeville city,73.7,28.8,29368,32.831238,-85.7635692,Dadeville city,Dadeville,city,
AL,Daleville city,85.3,24.5,45651,31.310171899999997,-85.7129908,Daleville city,Daleville,city,
AL,Daphne city,95.8,11.2,60737,30.6035255,-87.9036047,Daphne city,Daphne,city,
AL,Dauphin Island town,95.8,3.6,63594,30.2542565,-88.1124155,Dauphin Island town,Dauphin Island,town,
AL,Daviston town,87.8,12.9,47639,33.0528992,-85.6396783,Daviston town,Daviston,town,
AL,Dayton town,100,48,(X),32.3509732,-87.6419503,Dayton town,Dayton,town,
AL,Deatsville town,96.3,5.1,78125,32.6081874,-86.3958071,Deatsville town,Deatsville,town,
AL,Decatur city,82.7,21.2,41496,34.605925299999996,-86.9833417,Decatur city,Decatur,city,
AL,Deer Park CDP,86.3,28.1,(X),31.2169307,-88.3145093,Deer Park CDP,Deer Park,CDP,
AL,Delta CDP,87,0,(X),33.4401108,-85.690515,Delta CDP,Delta,CDP,
AL,Demopolis city,89.1,31,27656,32.517636100000004,-87.836402,Demopolis city,Demopolis,city,
AL,Detroit town,64.8,27.9,24107,34.028160799999995,-88.1700368,Detroit town,Detroit,town,
AL,Dodge City town,81.7,16.7,41346,34.0406562,-86.8858343,Dodge City town,Dodge City,town,
AL,Dora city,82.3,17.2,40769,33.728716999999996,-87.0902772,Dora city,Dora,city,
AL,Dothan city,86.2,19.1,42426,31.223231300000002,-85.39048879999999,Dothan city,Dothan,city,
AL,Double Springs town,74.5,27.5,29063,34.146491600000004,-87.40223859999999,Double Springs town,Double Springs,town,
AL,Douglas town,78.5,34.9,29318,34.1737065,-86.3235926,Douglas town,Douglas,town,
AL,Dozier town,79.1,30.3,21765,31.492108399999996,-86.3649582,Dozier town,Dozier,town,
AL,Dunnavant CDP,76,7.7,42857,33.5481597,-86.54442879999999,Dunnavant CDP,Dunnavant,CDP,
AL,Dutton town,90.6,24.2,39688,34.610918299999994,-85.91691999999999,Dutton town,Dutton,town,
AL,East Brewton city,83.6,30.6,26736,31.093233899999998,-87.0627468,East Brewton city,East Brewton,city,
AL,East Point CDP,91.4,0,62059,34.184135,-86.792946,East Point CDP,East Point,CDP,
AL,Eclectic town,84.2,13.4,41304,32.6354093,-86.0344079,Eclectic town,Eclectic,town,
AL,Edgewater CDP,84.1,26.5,26818,33.5267732,-86.95777149999999,Edgewater CDP,Edgewater,CDP,
AL,Edwardsville town,87,5.1,38438,33.70732720000001,-85.5091235,Edwardsville town,Edwardsville,town,
AL,Egypt CDP,84.9,4.5,56693,34.34417,-86.53389,Egypt CDP,Egypt,CDP,
AL,Elba city,76.9,31.1,26156,31.414610800000002,-86.0677243,Elba city,Elba,city,
AL,Elberta town,85.8,15.8,31190,30.414364600000003,-87.5977615,Elberta town,Elberta,town,
AL,Eldridge town,75,37.8,30000,33.922883500000005,-87.6172389,Eldridge town,Eldridge,town,
AL,Elkmont town,78.2,11.2,39583,34.92897429999999,-86.9738959,Elkmont town,Elkmont,town,
AL,Elmore town,70.5,30,40150,32.5387448,-86.3149712,Elmore town,Elmore,town,
AL,Emelle town,79.3,0,36250,32.7292998,-88.3144755,Emelle town,Emelle,town,
AL,Emerald Mountain CDP,90.9,8.2,91054,32.4554141,-86.1191666,Emerald Mountain CDP,Emerald Mountain,CDP,
AL,Enterprise city,89.2,16.3,54450,31.315170799999997,-85.85521609999999,Enterprise city,Enterprise,city,
AL,Epes town,81.6,24.8,25000,32.6904114,-88.1261339,Epes town,Epes,town,
AL,Ethelsville town,80.6,32.3,40417,33.4156743,-88.21669909999999,Ethelsville town,Ethelsville,town,
AL,Eufaula city,81.5,25.3,32845,31.8912717,-85.1454876,Eufaula city,Eufaula,city,
AL,Eunola CDP,96.1,0,42023,31.039901300000004,-85.847435,Eunola CDP,Eunola,CDP,
AL,Eutaw town,73.2,32.7,22377,32.8406848,-87.88751450000001,Eutaw town,Eutaw,town,
AL,Eva town,91.2,11.1,39868,34.3323178,-86.758888,Eva town,Eva,town,
AL,Evergreen city,79.2,52.6,18661,31.434190700000002,-86.95459240000001,Evergreen city,Evergreen,city,
AL,Excel town,86,18.6,34375,31.427943300000003,-87.34137309999998,Excel town,Excel,town,
AL,Fairfield city,88.9,23.4,34890,33.4859402,-86.91193659999999,Fairfield city,Fairfield,city,
AL,Fairford CDP,57.6,0,32269,31.16893,-88.06055400000001,Fairford CDP,Fairford,CDP,
AL,Fairhope city,95.4,11.2,61489,30.522971899999998,-87.9033261,Fairhope city,Fairhope,city,
AL,Fairview town,82,24,37750,34.255374100000004,-86.6880519,Fairview town,Fairview,town,
AL,Falkville town,65.1,26,33846,34.3684295,-86.90861600000001,Falkville town,Falkville,town,
AL,Faunsdale town,85.7,30.2,20625,32.4598585,-87.5938938,Faunsdale town,Faunsdale,town,
AL,Fayette city,79.1,25.9,30646,33.6845539,-87.8308522,Fayette city,Fayette,city,
AL,Fayetteville CDP,68.5,15.3,34632,33.145556,-86.405833,Fayetteville CDP,Fayetteville,CDP,
AL,Fitzpatrick CDP,60.7,15.5,(X),32.2165192,-85.88890140000001,Fitzpatrick CDP,Fitzpatrick,CDP,
AL,Five Points town,61.9,20.4,45000,33.0181788,-85.35022509999999,Five Points town,Five Points,town,
AL,Flomaton town,77.3,30.2,24406,31.000182000000002,-87.260807,Flomaton town,Flomaton,town,
AL,Florala town,79.6,30.1,25673,31.00518,-86.3280018,Florala town,Florala,town,
AL,Florence city,84.4,24.6,35731,34.79981,-87.677251,Florence city,Florence,city,
AL,Foley city,91.5,18.9,40938,30.406586800000003,-87.68359740000001,Foley city,Foley,city,
AL,Forestdale CDP,93.5,17,48654,33.5701054,-86.89638190000001,Forestdale CDP,Forestdale,CDP,
AL,Forkland town,74.1,48.1,19063,32.6481893,-87.8833475,Forkland town,Forkland,town,
AL,Fort Deposit town,70.5,30.2,23963,31.9845929,-86.5785856,Fort Deposit town,Fort Deposit,town,
AL,Fort Payne city,67.7,19,38833,34.4442547,-85.7196893,Fort Payne city,Fort Payne,city,
AL,Fort Rucker CDP,98.8,8,59265,31.3400515,-85.71537540000001,Fort Rucker CDP,Fort Rucker,CDP,
AL,Franklin town,85,6.6,60417,32.4784706,-85.80245620000001,Franklin town,Franklin,town,
